Actividad Productiva CIIU 4.0 A.C.,Solido/Semisolido (kg),Liquido (kg),Gaseoso (kg)
0610 - Extracción de petróleo crudo,11990452.5,152,0
4290 - Construcción de otras obras de ingeniería civil,171364.9,345451.88,72.5
0722 - Extracción de oro y otros metales preciosos,120039.64,188329.5,0
9329 - Otras actividades recreativas y de esparcimiento n.c.p.,233152.9,170.8,0
8412 - Actividades ejecutivas de la administración pública,228395,0,0
"8610 - Actividades de hospitales y clínicas, con internación",96072.51,366.62,0
3091 - Fabricación de motocicletas,87010.2,7341,0
2011 - Fabricación de sustancias y productos químicos básicos,88700,0,0
4210 - Construcción de carreteras y vías de ferrocarril,43908.9,43262.3,0
4731 - Comercio al por menor de combustible para automotores,21799.03,50061.6,0
1511 - Curtido y recurtido de cueros; recurtido y teñido de pieles,65398.9,0,0
"4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",53428,0,0
"0811 - Extracción de piedra, arena, arcillas comunes, yeso y anhidrita",34813.3,13860.1,0
"2711 - Fabricación de motores, generadores y transformadores eléctricos",11919.4,31865.5,0
2229 - Fabricación de artículos de plástico n.c.p.,24591.96,15016.5,0
3511 - Generación de energía eléctrica,18705.2,19751,64.6
"4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3945,24896.7,0
1811 - Actividades de impresión,26843.56,1428.5,0
"2394 - Fabricación de cemento, cal y yeso",8610,17185,0
2432 - Fundición de metales no ferrosos,24103,0,0
3290 - Otras industrias manufactureras n.c.p.,11813.58,11044.46,0
1313 - Acabado de productos textiles,21579.5,13.78,0
8699 - Otras actividades de atención de la salud humana,21147,0,0
2399 - Fabricación de otros productos minerales no metálicos n.c.p.,19846.1,769.5,0
"4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",16698.9,1089,0
4930 - Transporte por tuberías,7600.5,10000,0
2221 - Fabricación de formas básicas de plástico,9663.32,7604.7,0
2029 - Fabricación de otros productos químicos n.c.p.,15204.51,268.6,0
0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,12216,0,0
3520 - Producción de gas; distribución de combustibles gaseosos por tuberías,4227.75,5198.62,0
2592 - Tratamiento y revestimiento de metales; mecanizado,539,8364,0
"1620 - Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles",6672,1324,0
3821 - Tratamiento y disposición de desechos no peligrosos,300.1,6766.4,0
